Tested with SUPERCOP on "blk" ( A Core i7-8700 system) on 22-Oct-2018.
Sorted by median cycles needed for key establishment (KEX = KG+Enc+Dec).

TOTAL           Implementation          KeyGen()    Encaps()    Decaps()
----------------------------------------------------------------------------
92889           r5nd1kemb               29188       41915       21786
123115          babybearephem           38922       58994       25199
130014          r5nd3kemb               45978       58556       25480
137223          kyber512                35443       50651       51129
153172          ntrulpr4591761          28948       52195       72029
153362          r5nd1pkeb               34111       50290       68961
192072          babybear                38943       57801       95328
194515          r5nd3pkeb               45883       64876       83756
198442          newhope512cca           45271       74397       78774
206061          kyber768                56356       75798       73907
213588          mamabearephem           80398       101560      31630
224001          r5nd5kemb               76732       99274       47995
262007          ntruhrss701             192489      24585       44933
280729          kyber1024               76475       102317      101937
288999          lightsaber              60715       99637       128647
320177          papabearephem           125744      156188      38245
324722          mamabear                78701       98466       147555
348192          r5nd5pkeb               80082       112711      155399
384079          newhope1024cca          87615       143299      153165
495459          papabear                124347      153208      217904
526471          saber                   122606      181235      222630
827073          firesaber               207003      282677      337393
2362697         kindi256522             657034      785103      920560
3400062         edonk128k32n96nu4l4     1082371     181537      2136154
4020476         edonk192k48n144nu4l4    2053982     484598      1481896
4517622         sntrup4591761           4426625     30429       60568
5495400         frodokem640             2980389     1224478     1290533
11866945        frodokem976             6783848     2510879     2572218
21105625        edonk192k32n128nu4l6    1262871     290474      19552280
21846340        edonk128k16n80nu4l6     569663      66814       21209863
25462387        edonk128k16n80nu8l6     933702      147427      24381258
30196391        edonk128ref             1407263     275268      28513860
34080735        ramstakers216091        5015906     9366892     19697937
92293090        rsa2048                 90745422    15216       1532452
150264350       ramstakers756839        23433766    43140868    83689716
186818305       edonk192ref             1167333     259225      185391747
293362571       edonk192k16n112nu4l8    692092      125605      292544874
677436536       bigquake1               670688050   3169779     3578707
697962809       edonk128k08n72nu8l8     549068      58891       697354850
698230219       mceliece8192128         697889769   110513      229937
698375387       mceliece6960119         698067244   93884       214259
2678559076      pqrsa15                 2580506656  12340169    85712251
5664824107      bigquake3               5633293009  7731861     23799237
10381878365     bigquake5               10333130041 11146085    37602239
11114098156     dags3                   11049177321 9442424     55478411
79814876723     dags5                   79582344351 25356513    207175859

